"","filename","type","object","suffix","func","modal","preN","c_adjunct","clause_ID","year","author","wgr","large_region","lcinf","lclet","class"
"17915","129_111_f1600","verb","N","ing","adjunct","_","bare","_",0.2,1639,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","unspecified","unspecified"
"17939","129_111_f1600","noun","no","ing","sbj","_","indef","_",0.7,1639,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","unspecified","unspecified"
"17992","130_112_f1600","verb","clause","ing","adjunct","_","bare","_",0.2,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18010","130_112_f1600","noun","PPof","ing","sbj","_","pos","_",0.6,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18019","130_112_f1600","noun","PPof","ing","obj","_","det","_",0.8,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18140","132_114_f1600","noun","none","ing","Pcomp","_","pos","_",0.2,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18151","132_114_f1600","noun","PPof","ing","Pcomp","_","det","_",0.3,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18181","132_114_f1600","verb","N","ing","adjunct","_","pos","_",0.8,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18200","132_114_f1600","noun","PP","ing","sbj","_","pos","_",0.12,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18211","132_114_f1600","noun","none","ing","Pcomp","_","pos","_",0.14,1640,"MarieStewart,CountessofMar","female","South-East","Stirlingshire","Stirling","unspecified"
"18237","133_115_f1600","verb","clause","ing","adjunct","_","bare","neg",0.3,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18297","134_116_f1600","verb","clause","ing","Pcomp","_","bare","_",0.5,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18303","134_116_f1600","verb","N","ing","root","_","bare","adv",0.6,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18332","135_117_f1600","verb","no","ing","adjunct","_","bare","_",0.5,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18436","136_118_f1600","hybrid","N","ing","obj","_","pos","_",0.2,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18480","136_118_f1600","verb","N","ing","root","_","bare","adv",0.7,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18483","136_118_f1600","verb","N","ing","root","_","bare","_",0.8,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18492","1367_1_m1700","verb","clause","ing","adjunct","modal","bare","loc_temp",0.2,1700,"SimonFraser,11thLordLovat","male","North","Invernessshire","unspecified","unspecified"
"18545","1368_2_m1700","verb","PP","ing","Pcomp","modal","bare","_",0.2,1714,"SimonFraser,11thLordLovat","male","North","Invernessshire","unspecified","unspecified"
"18591","1368_2_m1700","hybrid","PP","ing","Pcomp","_","pos","_",0.5,1714,"SimonFraser,11thLordLovat","male","North","Invernessshire","unspecified","unspecified"
"18603","1368_2_m1700","verb","N","ing","adjunct","_","bare","_",0.6,1714,"SimonFraser,11thLordLovat","male","North","Invernessshire","unspecified","unspecified"
"18635","1368_2_m1700","hybrid","none","ing","Pcomp","_","pos","_",0.7,1714,"SimonFraser,11thLordLovat","male","North","Invernessshire","unspecified","unspecified"
"18727","1369_3_m1700","noun","PPof","ing","conj","_","det","_",0.6,1715,"SimonFraser,11thLordLovat","male","North","Invernessshire","London","unspecified"
"18820","137_119_f1600","verb","N","ing","sbj","_","bare","loc_temp",0.1,1600,"AnneVilliers,CountessofMorton","female","South-East","Lothian","unspecified","unspecified"
"18886","1370_4_m1700","noun","PPof","ing","Pcomp","_","det","_",0.7,1715,"SimonFraser,11thLordLovat","male","North","Invernessshire","London","unspecified"
